year,industry1,industry2,industry3,employment_change
2009,services,transportation and storage,water transport and supporting services,-0.3
2009,services,transportation and storage,air transport and supporting services,-0.1
2009,services,transportation and storage,other transportation and storage services,-2.9
2009,services,accommodation and food services,accommodation,-1.1
2009,services,accommodation and food services,food and beverage services,3.4
2009,services,information and communications,"telecommunications, broadcasting and publishing",0.5
2009,services,information and communications,it and other information services,2.4
2009,services,financial and insurance services,financial services,0.6
2009,services,financial and insurance services,insurance services,0.8
2009,services,real estate services,real estate services,2.6
2009,services,professional services,"legal, accounting and management services",2
2009,services,professional services,architectural and engineering services,2.2
2009,services,professional services,other professional services,0.3
2009,services,administrative and support services,security and investigation,2.5
2009,services,administrative and support services,cleaning and landscaping,2.1
2009,services,administrative and support services,other administrative and support services,3.3
2009,services,"community, social and personal services",public administration and education,12
2009,services,"community, social and personal services",health and social services,5.6
2009,services,"community, social and personal services","arts, entertainment and recreation",7.8
2009,services,"community, social and personal services","other community, social and personal services",8.3
2010,others,others,others,0.5
2010,construction,construction,construction,0.5
2010,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",1.9
2010,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,3.5
2010,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-3.8
2010,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",4.7
2010,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",5.6
2010,manufacturing,transport equipment,transport equipment,-9.4
2010,manufacturing,other manufacturing industries,other manufacturing industries,2.2
2010,services,wholesale and retail trade,wholesale trade,10.1
2010,services,wholesale and retail trade,retail trade,3.1
2010,services,transportation and storage,land transport and supporting services,1.8
2010,services,transportation and storage,water transport and supporting services,1.2
2010,services,transportation and storage,air transport and supporting services,1.7
2010,services,transportation and storage,other transportation and storage services,2
2010,services,accommodation and food services,accommodation,5.4
2010,services,accommodation and food services,food and beverage services,10.2
2010,services,information and communications,"telecommunications, broadcasting and publishing",1.8
2010,services,information and communications,it and other information services,6.7
2010,services,financial and insurance services,financial services,5.6
2010,services,financial and insurance services,insurance services,1
2010,services,real estate services,real estate services,2.4
2010,services,professional services,"legal, accounting and management services",6
2010,services,professional services,architectural and engineering services,3.1
2010,services,professional services,other professional services,2.5
2010,services,administrative and support services,security and investigation,1
2010,services,administrative and support services,cleaning and landscaping,1.8
2010,services,administrative and support services,other administrative and support services,8.9
2010,services,"community, social and personal services",public administration and education,7.8
2010,services,"community, social and personal services",health and social services,7.9
2010,services,"community, social and personal services","arts, entertainment and recreation",10.7
2010,services,"community, social and personal services","other community, social and personal services",7.5
2011,others,others,others,0.8
2011,construction,construction,construction,21.8
2011,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.5
2011,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.4
2011,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-1
2011,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",4.9
2011,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-5.3
2011,manufacturing,transport equipment,transport equipment,6.2
2011,manufacturing,other manufacturing industries,other manufacturing industries,0.9
2011,services,wholesale and retail trade,wholesale trade,7.4
2011,services,wholesale and retail trade,retail trade,7
2011,services,transportation and storage,land transport and supporting services,1.1
2011,services,transportation and storage,water transport and supporting services,2.4
2011,services,transportation and storage,air transport and supporting services,1.9
2011,services,transportation and storage,other transportation and storage services,1.5
2011,services,accommodation and food services,accommodation,2
2011,services,accommodation and food services,food and beverage services,8.1
2011,services,information and communications,"telecommunications, broadcasting and publishing",1.2
2011,services,information and communications,it and other information services,7.8
2011,services,financial and insurance services,financial services,6.6
2011,services,financial and insurance services,insurance services,0.5
2011,services,real estate services,real estate services,3.7
2011,services,professional services,"legal, accounting and management services",3.7
2011,services,professional services,architectural and engineering services,3.1
2011,services,professional services,other professional services,2.7
2011,services,administrative and support services,security and investigation,2.4
2011,services,administrative and support services,cleaning and landscaping,1
2011,services,administrative and support services,other administrative and support services,6.5
2011,services,"community, social and personal services",public administration and education,7.7
2011,services,"community, social and personal services",health and social services,7.7
2011,services,"community, social and personal services","arts, entertainment and recreation",3
2011,services,"community, social and personal services","other community, social and personal services",5.3
2012,others,others,others,1.7
2012,construction,construction,construction,40.4
2012,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",1.3
2012,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-2
2012,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",12
2012,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",0.5
2012,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-3.8
2012,manufacturing,transport equipment,transport equipment,-0.4
2012,manufacturing,other manufacturing industries,other manufacturing industries,0.8
